Produto;Mês;Loja;Preço
Isolante 10;Fev;Bairro;R$10,00
Segurança 8;Fev;Centro;R$40,00
Segurança 8;Mai;Bairro;R$40,00
Segurança 8;Abr;Bairro;R$40,00
Segurança 1;Ago;Bairro;R$48,00
Isolante 7;Set;Centro;R$10,00
Segurança 8;Jun;Bairro;R$40,00
Adesivo 2;Dez;Centro;R$28,00
Adesivo 4;Fev;Centro;R$28,00
Isolante 7;Nov;Bairro;R$10,00
Isolante 6;Out;Bairro;R$10,00
Segurança 2;Set;Bairro;R$40,00
Isolante 10;Dez;Centro;R$10,00
Isolante 10;Jul;Centro;R$10,00
Segurança 8;Set;Centro;R$40,00
Segurança 2;Dez;Centro;R$40,00
Segurança 8;Jan;Centro;R$40,00
Segurança 8;Dez;Bairro;R$40,00
Segurança 8;Mai;Centro;R$40,00
Isolante 10;Ago;Bairro;R$10,00
Isolante 1;Jan;Bairro;R$12,00
Segurança 6;Dez;Bairro;R$40,00
Adesivo 4;Jun;Bairro;R$28,00
Segurança 8;Set;Bairro;R$40,00
Segurança 8;Set;Bairro;R$40,00
Segurança 8;Jun;Bairro;R$40,00
Segurança 8;Out;Centro;R$40,00
Segurança 2;Fev;Centro;R$40,00
Segurança 6;Jul;Centro;R$40,00
Adesivo 4;Mai;Centro;R$28,00
Segurança 2;Mai;Centro;R$40,00
Segurança 8;Jan;Bairro;R$40,00
Adesivo 4;Mar;Centro;R$28,00
Isolante 7;Mar;Bairro;R$10,00
Segurança 8;Nov;Centro;R$40,00
Adesivo 5;Jul;Centro;R$28,00
Isolante 7;Out;Centro;R$10,00
Isolante 7;Set;Bairro;R$10,00
Segurança 8;Mai;Centro;R$40,00
Isolante 10;Abr;Bairro;R$10,00
Isolante 9;Ago;Centro;R$10,00
Isolante 5;Jun;Centro;R$10,00
Segurança 8;Jul;Centro;R$40,00
Isolante 4;Abr;Centro;R$10,00
Segurança 2;Nov;Centro;R$40,00
Isolante 10;Set;Centro;R$10,00
Adesivo 4;Jun;Centro;R$28,00
Segurança 8;Nov;Centro;R$40,00
Isolante 7;Jul;Centro;R$10,00
Isolante 10;Jun;Bairro;R$10,00
Segurança 8;Abr;Bairro;R$40,00
Isolante 7;Nov;Bairro;R$10,00
Segurança 8;Jun;Bairro;R$40,00
Segurança 5;Mai;Bairro;R$40,00
Isolante 7;Nov;Bairro;R$10,00
Isolante 10;Set;Centro;R$10,00
Isolante 3;Jun;Centro;R$10,00
Isolante 10;Jan;Bairro;R$10,00
Segurança 4;Nov;Bairro;R$40,00
Segurança 8;Nov;Centro;R$40,00
Isolante 5;Jun;Centro;R$10,00
Segurança 8;Set;Centro;R$40,00
Segurança 8;Abr;Centro;R$40,00
Adesivo 10;Nov;Centro;R$28,00
Segurança 8;Jun;Centro;R$40,00
Isolante 10;Ago;Centro;R$10,00
Segurança 6;Mai;Centro;R$40,00
Segurança 7;Nov;Centro;R$40,00
Segurança 8;Mai;Centro;R$40,00
Segurança 8;Nov;Centro;R$40,00
Segurança 8;Nov;Centro;R$40,00
Isolante 5;Jul;Bairro;R$10,00
Segurança 7;Mai;Bairro;R$40,00
Segurança 8;Dez;Centro;R$40,00
Adesivo 4;Mar;Centro;R$28,00
Segurança 8;Out;Centro;R$40,00
Isolante 7;Abr;Bairro;R$10,00
Isolante 10;Ago;Bairro;R$10,00
Segurança 8;Set;Bairro;R$40,00
Segurança 8;Mar;Bairro;R$40,00
Adesivo 6;Dez;Bairro;R$28,00
Isolante 7;Set;Centro;R$10,00
Isolante 5;Set;Centro;R$10,00
Segurança 8;Dez;Centro;R$40,00
Isolante 10;Out;Bairro;R$10,00
Segurança 1;Mar;Centro;R$48,00
Segurança 8;Ago;Centro;R$40,00
Isolante 9;Out;Bairro;R$10,00
Segurança 8;Ago;Centro;R$40,00
Isolante 10;Mar;Bairro;R$10,00
Segurança 8;Fev;Bairro;R$40,00
Adesivo 3;Ago;Centro;R$28,00
Segurança 1;Set;Bairro;R$48,00
Isolante 10;Jun;Bairro;R$10,00
Isolante 7;Set;Centro;R$10,00
Segurança 7;Set;Centro;R$40,00
Segurança 8;Jan;Bairro;R$40,00
Segurança 2;Ago;Centro;R$40,00
Segurança 8;Set;Bairro;R$40,00
Segurança 8;Set;Bairro;R$40,00
Segurança 7;Jul;Centro;R$40,00
Isolante 10;Jun;Centro;R$10,00
Isolante 1;Fev;Centro;R$12,00
Isolante 5;Fev;Bairro;R$10,00
Segurança 2;Abr;Bairro;R$40,00
Segurança 8;Abr;Centro;R$40,00
Isolante 7;Dez;Centro;R$10,00
Segurança 8;Jul;Centro;R$40,00
Segurança 8;Mai;Bairro;R$40,00
Segurança 8;Ago;Centro;R$40,00
Segurança 8;Nov;Centro;R$40,00
Isolante 10;Abr;Centro;R$10,00
Segurança 8;Nov;Centro;R$40,00
Segurança 8;Dez;Centro;R$40,00
Segurança 7;Dez;Bairro;R$40,00
Segurança 4;Dez;Bairro;R$40,00
Segurança 8;Ago;Centro;R$40,00
Segurança 3;Nov;Bairro;R$40,00
Segurança 1;Jun;Centro;R$48,00
Segurança 8;Jun;Bairro;R$40,00
Isolante 7;Jan;Bairro;R$10,00
Isolante 4;Fev;Bairro;R$10,00
Segurança 8;Jul;Centro;R$40,00
Isolante 1;Ago;Centro;R$12,00
Segurança 8;Mai;Bairro;R$40,00
Segurança 8;Abr;Bairro;R$40,00
Isolante 10;Dez;Bairro;R$10,00
Segurança 8;Dez;Centro;R$40,00
Segurança 8;Jan;Bairro;R$40,00
Segurança 8;Ago;Centro;R$40,00
Isolante 7;Jan;Bairro;R$10,00
Segurança 8;Ago;Bairro;R$40,00
Segurança 8;Nov;Centro;R$40,00
Segurança 8;Ago;Centro;R$40,00
Segurança 2;Fev;Bairro;R$40,00
Segurança 3;Ago;Bairro;R$40,00
Segurança 1;Out;Bairro;R$48,00
Segurança 8;Jun;Bairro;R$40,00
Segurança 8;Out;Bairro;R$40,00
Adesivo 4;Ago;Bairro;R$28,00
Segurança 8;Nov;Centro;R$40,00
Isolante 10;Set;Centro;R$10,00
Adesivo 8;Jun;Centro;R$28,00
Isolante 7;Jun;Bairro;R$10,00
Segurança 1;Jun;Centro;R$48,00
Adesivo 9;Mar;Centro;R$28,00
Segurança 8;Jun;Centro;R$40,00
Isolante 1;Abr;Centro;R$12,00
Segurança 1;Fev;Bairro;R$48,00
Isolante 10;Jun;Centro;R$10,00
Isolante 7;Nov;Bairro;R$10,00
Segurança 1;Out;Bairro;R$48,00
Adesivo 5;Fev;Bairro;R$28,00
Segurança 8;Abr;Centro;R$40,00
Adesivo 2;Jan;Centro;R$28,00
Adesivo 9;Jun;Centro;R$28,00
Segurança 7;Out;Centro;R$40,00
Isolante 5;Jan;Centro;R$10,00
Segurança 1;Jan;Bairro;R$48,00
Adesivo 4;Ago;Bairro;R$28,00
Segurança 2;Mai;Centro;R$40,00
Isolante 7;Fev;Bairro;R$10,00
Segurança 8;Mai;Bairro;R$40,00
Isolante 2;Set;Bairro;R$10,00
Segurança 8;Jan;Bairro;R$40,00
Segurança 8;Jul;Bairro;R$40,00
Segurança 7;Jan;Bairro;R$40,00
Segurança 4;Mai;Centro;R$40,00
Isolante 10;Ago;Centro;R$10,00
Adesivo 1;Dez;Centro;R$32,00
Segurança 7;Out;Bairro;R$40,00
Isolante 7;Ago;Bairro;R$10,00
Segurança 6;Abr;Bairro;R$40,00
Isolante 10;Nov;Centro;R$10,00
Segurança 8;Fev;Centro;R$40,00
Segurança 8;Jul;Bairro;R$40,00
Isolante 10;Jan;Centro;R$10,00
Isolante 10;Abr;Centro;R$10,00
Isolante 10;Nov;Bairro;R$10,00
Segurança 3;Set;Bairro;R$40,00
Segurança 8;Jan;Centro;R$40,00
Segurança 8;Ago;Centro;R$40,00
Adesivo 4;Abr;Centro;R$28,00
Segurança 8;Mar;Bairro;R$40,00
Isolante 9;Jul;Bairro;R$10,00
Segurança 2;Out;Centro;R$40,00
Segurança 2;Out;Bairro;R$40,00
Segurança 8;Out;Bairro;R$40,00
Segurança 10;Mar;Centro;R$40,00
Isolante 10;Jun;Centro;R$10,00
Isolante 7;Fev;Bairro;R$10,00
Segurança 8;Abr;Centro;R$40,00
Segurança 8;Mar;Bairro;R$40,00
Segurança 8;Nov;Bairro;R$40,00
Adesivo 4;Fev;Centro;R$28,00
Segurança 8;Mai;Centro;R$40,00
Segurança 8;Fev;Bairro;R$40,00
Segurança 8;Dez;Centro;R$40,00
Isolante 7;Set;Centro;R$10,00
Isolante 9;Jul;Centro;R$10,00
Isolante 10;Jun;Centro;R$10,00
Segurança 8;Nov;Centro;R$40,00
Segurança 8;Mar;Centro;R$40,00
Segurança 8;Abr;Bairro;R$40,00
Segurança 8;Set;Bairro;R$40,00
Segurança 8;Jan;Centro;R$40,00
Segurança 8;Nov;Centro;R$40,00
Isolante 10;Fev;Bairro;R$10,00
Segurança 8;Set;Bairro;R$40,00
Adesivo 10;Ago;Bairro;R$28,00
Segurança 8;Dez;Bairro;R$40,00
Segurança 8;Abr;Centro;R$40,00
Isolante 10;Set;Bairro;R$10,00
Isolante 10;Jun;Bairro;R$10,00
Segurança 8;Mai;Centro;R$40,00
Isolante 7;Fev;Bairro;R$10,00
Isolante 6;Nov;Centro;R$10,00
Segurança 8;Out;Centro;R$40,00
Segurança 8;Out;Bairro;R$40,00
Isolante 9;Out;Centro;R$10,00
Isolante 10;Dez;Centro;R$10,00
Segurança 8;Dez;Centro;R$40,00
Segurança 1;Nov;Centro;R$48,00
Segurança 6;Dez;Bairro;R$40,00
Adesivo 4;Jul;Centro;R$28,00
Segurança 8;Mai;Bairro;R$40,00
Isolante 10;Jan;Bairro;R$10,00
Segurança 2;Abr;Bairro;R$40,00
Segurança 8;Jun;Bairro;R$40,00
Isolante 10;Nov;Centro;R$10,00
Isolante 7;Ago;Centro;R$10,00
Isolante 6;Mar;Bairro;R$10,00
Segurança 8;Ago;Bairro;R$40,00
Segurança 8;Nov;Centro;R$40,00
Isolante 7;Mar;Centro;R$10,00
Segurança 2;Jul;Bairro;R$40,00
Isolante 10;Jul;Bairro;R$10,00
Segurança 8;Fev;Bairro;R$40,00
Segurança 1;Nov;Bairro;R$48,00
Segurança 8;Jul;Centro;R$40,00
Segurança 8;Jun;Bairro;R$40,00
Adesivo 7;Abr;Bairro;R$28,00
Segurança 8;Jun;Centro;R$40,00
Isolante 10;Fev;Centro;R$10,00
Isolante 10;Jul;Centro;R$10,00
Segurança 8;Fev;Centro;R$40,00
Adesivo 10;Jan;Bairro;R$28,00
Adesivo 5;Abr;Centro;R$28,00
Segurança 8;Mar;Bairro;R$40,00
Isolante 7;Ago;Centro;R$10,00
Segurança 1;Abr;Bairro;R$48,00
Isolante 7;Mar;Bairro;R$10,00
Isolante 10;Jun;Centro;R$10,00
Segurança 8;Mar;Bairro;R$40,00
Segurança 8;Set;Bairro;R$40,00
Isolante 9;Mai;Centro;R$10,00
Adesivo 5;Jul;Bairro;R$28,00
Segurança 1;Jun;Centro;R$48,00
Segurança 8;Ago;Centro;R$40,00
Segurança 8;Set;Bairro;R$40,00
Segurança 8;Jul;Centro;R$40,00
Isolante 7;Mar;Centro;R$10,00
Isolante 7;Jun;Centro;R$10,00
Segurança 8;Abr;Centro;R$40,00
Segurança 8;Dez;Bairro;R$40,00
Segurança 1;Mai;Bairro;R$48,00
Isolante 6;Mai;Centro;R$10,00
Isolante 7;Jun;Centro;R$10,00
Segurança 8;Mai;Bairro;R$40,00
Isolante 7;Mar;Bairro;R$10,00
Isolante 7;Mai;Centro;R$10,00
Segurança 1;Fev;Centro;R$48,00
Adesivo 8;Jul;Centro;R$28,00
Isolante 1;Out;Bairro;R$12,00
Segurança 8;Fev;Centro;R$40,00
Isolante 7;Fev;Bairro;R$10,00
Segurança 8;Out;Bairro;R$40,00
Isolante 7;Set;Bairro;R$10,00
Isolante 7;Mar;Bairro;R$10,00
Adesivo 4;Mar;Centro;R$28,00
Isolante 10;Out;Centro;R$10,00
Segurança 8;Set;Centro;R$40,00
Segurança 8;Abr;Bairro;R$40,00
Isolante 4;Set;Centro;R$10,00
Isolante 10;Nov;Bairro;R$10,00
Segurança 8;Mai;Bairro;R$40,00
Segurança 7;Jan;Centro;R$40,00
Isolante 7;Mar;Bairro;R$10,00
Adesivo 4;Jul;Bairro;R$28,00
Isolante 7;Ago;Bairro;R$10,00
Isolante 10;Mar;Bairro;R$10,00
Segurança 8;Dez;Centro;R$40,00
Segurança 8;Mai;Centro;R$40,00
Segurança 8;Mai;Bairro;R$40,00
Segurança 8;Out;Centro;R$40,00
Segurança 8;Nov;Bairro;R$40,00
Isolante 10;Jun;Centro;R$10,00
Segurança 7;Mar;Centro;R$40,00
Segurança 8;Jul;Bairro;R$40,00
Segurança 8;Abr;Centro;R$40,00
Segurança 7;Abr;Bairro;R$40,00
Segurança 2;Jan;Bairro;R$40,00
Isolante 8;Fev;Centro;R$10,00
Segurança 8;Nov;Centro;R$40,00
Segurança 8;Fev;Bairro;R$40,00
Segurança 8;Mai;Centro;R$40,00
Isolante 10;Ago;Centro;R$10,00
Isolante 7;Mai;Centro;R$10,00
Segurança 8;Jan;Centro;R$40,00
Isolante 7;Ago;Centro;R$10,00
Isolante 10;Jul;Centro;R$10,00
Segurança 2;Ago;Bairro;R$40,00
Segurança 8;Jan;Bairro;R$40,00
Isolante 5;Out;Bairro;R$10,00
Segurança 1;Jun;Bairro;R$48,00
Isolante 6;Set;Bairro;R$10,00
Segurança 7;Jun;Bairro;R$40,00
Isolante 10;Ago;Centro;R$10,00
Segurança 8;Jul;Bairro;R$40,00
Segurança 8;Dez;Bairro;R$40,00
Isolante 7;Jan;Bairro;R$10,00
Isolante 7;Fev;Bairro;R$10,00
Segurança 8;Abr;Bairro;R$40,00
Isolante 1;Fev;Bairro;R$12,00
Isolante 6;Ago;Centro;R$10,00
Segurança 8;Set;Bairro;R$40,00
Isolante 10;Jul;Bairro;R$10,00
Segurança 8;Jul;Bairro;R$40,00
Isolante 7;Ago;Bairro;R$10,00
Segurança 8;Jun;Centro;R$40,00
Isolante 7;Abr;Bairro;R$10,00
Segurança 6;Jan;Bairro;R$40,00
Segurança 8;Ago;Centro;R$40,00
Segurança 8;Ago;Centro;R$40,00
Isolante 6;Nov;Bairro;R$10,00
Isolante 7;Ago;Centro;R$10,00
Segurança 8;Jun;Centro;R$40,00
Isolante 10;Jan;Centro;R$10,00
Segurança 10;Set;Bairro;R$40,00
Segurança 1;Fev;Bairro;R$48,00
Segurança 8;Jun;Bairro;R$40,00
Adesivo 5;Jun;Centro;R$28,00
Segurança 8;Jul;Bairro;R$40,00
Segurança 8;Abr;Centro;R$40,00
Isolante 10;Jul;Centro;R$10,00
Segurança 8;Jul;Bairro;R$40,00
Segurança 1;Set;Centro;R$48,00
Segurança 8;Set;Centro;R$40,00
Isolante 7;Out;Centro;R$10,00
Isolante 5;Abr;Bairro;R$10,00
Isolante 10;Fev;Bairro;R$10,00
Isolante 4;Abr;Bairro;R$10,00
Isolante 4;Jan;Bairro;R$10,00
Segurança 8;Dez;Centro;R$40,00
Segurança 8;Mai;Centro;R$40,00
Isolante 7;Out;Bairro;R$10,00
Segurança 8;Dez;Bairro;R$40,00
Segurança 6;Dez;Centro;R$40,00
Segurança 1;Abr;Centro;R$48,00
Adesivo 5;Jul;Bairro;R$28,00
Isolante 7;Jul;Bairro;R$10,00
Isolante 10;Fev;Centro;R$10,00
Segurança 8;Abr;Bairro;R$40,00
Adesivo 5;Mar;Bairro;R$28,00
Isolante 10;Fev;Centro;R$10,00
Adesivo 9;Mai;Centro;R$28,00
Adesivo 4;Fev;Bairro;R$28,00
Isolante 7;Out;Bairro;R$10,00
Segurança 7;Set;Centro;R$40,00
Segurança 8;Jan;Bairro;R$40,00
Segurança 8;Abr;Centro;R$40,00
Isolante 10;Ago;Centro;R$10,00
Isolante 7;Abr;Bairro;R$10,00
Segurança 8;Dez;Centro;R$40,00
Isolante 10;Nov;Centro;R$10,00
Segurança 8;Jan;Centro;R$40,00
Isolante 10;Mar;Bairro;R$10,00
Segurança 8;Jul;Centro;R$40,00
Segurança 2;Mai;Bairro;R$40,00
Adesivo 5;Jan;Centro;R$28,00
Isolante 10;Jan;Centro;R$10,00
Segurança 8;Jan;Bairro;R$40,00
Isolante 10;Jul;Bairro;R$10,00
Isolante 7;Ago;Bairro;R$10,00
Segurança 8;Out;Bairro;R$40,00
Isolante 10;Out;Centro;R$10,00
Segurança 8;Abr;Centro;R$40,00
Isolante 10;Mai;Bairro;R$10,00
Adesivo 5;Mai;Bairro;R$28,00
Segurança 8;Jan;Centro;R$40,00
Isolante 10;Dez;Centro;R$10,00
Isolante 10;Mai;Bairro;R$10,00
Isolante 10;Jun;Bairro;R$10,00
Adesivo 8;Mar;Centro;R$28,00
Segurança 2;Ago;Bairro;R$40,00
Adesivo 9;Mar;Centro;R$28,00
Segurança 8;Nov;Centro;R$40,00
Segurança 8;Ago;Centro;R$40,00
Adesivo 5;Abr;Centro;R$28,00
Adesivo 4;Nov;Centro;R$28,00
Isolante 10;Dez;Bairro;R$10,00
Segurança 8;Jan;Centro;R$40,00
Segurança 8;Jun;Centro;R$40,00
Isolante 10;Set;Bairro;R$10,00
Isolante 1;Jun;Bairro;R$12,00
Isolante 10;Ago;Centro;R$10,00
Isolante 10;Fev;Bairro;R$10,00
Segurança 2;Fev;Bairro;R$40,00
Isolante 6;Jan;Centro;R$10,00
Isolante 10;Nov;Centro;R$10,00
Segurança 8;Fev;Bairro;R$40,00
Segurança 8;Dez;Bairro;R$40,00
Isolante 10;Jul;Bairro;R$10,00
Segurança 8;Out;Centro;R$40,00
Adesivo 4;Ago;Bairro;R$28,00
Segurança 1;Nov;Bairro;R$48,00
Isolante 1;Set;Centro;R$12,00
Segurança 8;Nov;Centro;R$40,00
Segurança 8;Dez;Centro;R$40,00
Segurança 8;Jun;Bairro;R$40,00
Isolante 4;Dez;Bairro;R$10,00
Segurança 8;Fev;Bairro;R$40,00
Segurança 2;Mar;Centro;R$40,00
Adesivo 4;Mai;Bairro;R$28,00
Isolante 10;Jan;Centro;R$10,00
Isolante 7;Mai;Bairro;R$10,00
Isolante 10;Nov;Centro;R$10,00
Adesivo 5;Mar;Bairro;R$28,00
Segurança 8;Fev;Bairro;R$40,00
Isolante 8;Jul;Centro;R$10,00
Isolante 7;Dez;Centro;R$10,00
Segurança 8;Jul;Bairro;R$40,00
Isolante 3;Mai;Bairro;R$10,00
Segurança 2;Jul;Bairro;R$40,00
Segurança 8;Set;Bairro;R$40,00
Adesivo 6;Dez;Centro;R$28,00
Isolante 10;Ago;Bairro;R$10,00
Segurança 1;Set;Centro;R$48,00
Segurança 8;Mai;Centro;R$40,00
Isolante 10;Nov;Bairro;R$10,00
Segurança 1;Out;Centro;R$48,00
Segurança 8;Out;Centro;R$40,00
Isolante 6;Out;Bairro;R$10,00
Segurança 8;Dez;Centro;R$40,00
